指令	実装先	ユースケース				
		バッテリー充電				
		異常を検出する				
ラズパイ		異常を検出したら止まる				
	ラズパイ		FAIL_SAFE_MODE状態の時に駆動出力を絞る			
						
外部監視		駆動許可を出す				
	外部監視		駆動許可信号を出力			
	ラズパイ		駆動許可信号を受信する			
	ラズパイ			駆動許可信号が来たらジョイスティック操作を受け付けるようにする		
外部監視		駆動禁止を出す				
	外部監視		駆動禁止信号を出力			
	ラズパイ		駆動許可信号を受信する			
	ラズパイ			駆動禁止信号が来たらジョイスティック操作を受け付けない		
乗員	球体	PモードからDモードに切り替えることでジョイスティック操作を受け付ける				
		DモードからPモードに切り替えることでジョイスティック操作を受け付けない				
	球体		セレクタ情報を出力する			
	ラズパイGPIO		セレクタ情報を受信する			
	ラズパイ			セレクタ情報がPモードの時にはジョイスティック入力を禁止する		
	ラズパイ			セレクタ情報がDモードの時にはジョイスティック入力を許可する		
						
乗員	球体	ジョイスティックを前に倒すと前進する				
	ラズパイ		ジョイスティックの倒し角度に合わせて目標車速が変化する			
				現在車速と目標車速の差から目標加速度を算出する		
					現在車速を取得する	
						
						
乗員	球体	ジョイスティックを後ろに倒すと後退する				
	ラズパイ		ジョイスティックの倒し角度に合わせて目標車速が変化する			
乗員		ジョイスティックを左右に倒すと左右の姿勢が変化する				
						
乗員						
外部監視	球体	強制停止を出す				
						
プログラムSW	ラズパイ	ギネスモード				
			目標車速上限を○○に変更する			
プログラムSW	ラズパイ	コントローラを変更する				
	ラズパイ		ジョイコン			
	ラズパイ		Microbit			
						
						
						
						
						
						
						
